t,y
0.01,0.0
0.02,0.0
0.03,-0.054
0.04,-0.162
0.05,-0.321
0.06,-0.519
0.07,-0.747
0.08,-0.993
0.09,-1.239
0.1,-1.473
0.11,-1.683
0.12,-1.851
0.13,-1.974
0.14,-2.04
0.15,-2.052
0.16,-1.995
0.17,-1.878
0.18,-1.695
0.19,-1.458
0.2,-1.167
0.21,-0.831
0.22,-0.453
0.23,-0.051
0.24,0.375
0.25,0.816
0.26,1.269
0.27,1.722
0.28,2.172
0.29,2.622
0.3,3.057
0.31,3.48
0.32,3.894
0.33,4.29
0.34,4.662
0.35,5.022
0.36,5.361
0.37,5.682
0.38,5.976
0.39,6.258
0.4,6.516
0.41,6.756
0.42,6.984
0.43,7.188
0.44,7.38
0.45,7.557
0.46,7.716
0.47,7.86
0.48,7.989
0.49,8.103
0.5,8.211
0.51,8.313
0.52,8.4
0.53,8.475
0.54,8.544
0.55,8.601
0.56,8.655
0.57,8.697
0.58,8.745
0.59,8.781
0.6,8.814
0.61,8.838
0.62,8.859
0.63,8.88
0.64,8.898
0.65,8.916
0.66,8.931
0.67,8.946
0.68,8.952
0.69,8.964
0.7,8.967
0.71,8.976
0.72,8.979
0.73,8.982
0.74,8.985
0.75,8.988
0.76,8.997
0.77,8.997
0.78,8.997
0.79,8.997
0.8,8.997
0.81,8.997
0.82,8.997
0.83,8.997
0.84,8.997
0.85,8.997
0.86,8.997
0.87,8.997
0.88,8.997
0.89,8.997
0.9,8.997
0.91,8.997
0.92,8.997
0.93,8.997
0.94,8.997
0.95,8.997
0.96,8.997
0.97,8.997
0.98,8.997
0.99,8.997
1.0,8.997
1.01,8.997
