t,y
0.01,0.03
0.02,0.158
0.03,0.314
0.04,0.101
0.05,-0.197
0.06,-0.056999999999999995
0.07,-1.059
0.08,-1.098
0.09,-0.8690000000000001
0.1,-1.463
0.11,-1.447
0.12,-2.025
0.13,-2.237
0.14,-2.1350000000000002
0.15,-1.627
0.16,-2.3890000000000002
0.17,-2.404
0.18,-2.024
0.19,-1.725
0.2,-1.33
0.21,-0.9299999999999999
0.22,-0.188
0.23,-0.018999999999999996
0.24,-0.0050000000000000044
0.25,0.7729999999999999
0.26,1.716
0.27,1.944
0.28,2.4530000000000003
0.29,2.4739999999999998
0.3,3.1
0.31,2.798
0.32,3.805
0.33,4.461
0.34,4.362
0.35,4.2940000000000005
0.36,5.087
0.37,5.987
0.38,6.143
0.39,6.095
0.4,6.35
0.41,6.764
0.42,6.922
0.43,7.090999999999999
0.44,7.386
0.45,7.493
0.46,7.748
0.47,7.718
0.48,7.687
0.49,8.1
0.5,8.076
0.51,7.917000000000001
0.52,8.476
0.53,8.206
0.54,8.735000000000001
0.55,8.524000000000001
0.56,8.799
0.57,9.03
0.58,8.533
0.59,8.537
0.6,8.691
0.61,8.684
0.62,8.542
0.63,9.043000000000001
0.64,9.059
0.65,8.869
0.66,8.927
0.67,8.892
0.68,8.712
0.69,8.906
0.7,9.303
0.71,9.190000000000001
0.72,8.18
0.73,8.976999999999999
0.74,8.475
0.75,9.293999999999999
0.76,8.978
0.77,8.663
0.78,8.636
0.79,8.752
0.8,8.693
0.81,9.425
0.82,8.911
0.83,9.009
0.84,8.864
0.85,8.999
0.86,9.056
0.87,8.961
0.88,9.184
0.89,8.352
0.9,9.387
0.91,8.906
0.92,9.404
0.93,9.149
0.94,9.115
0.95,9.196
0.96,9.031
0.97,9.271
0.98,9.027
0.99,8.842
1.0,8.886
1.01,8.937
